,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
45,46,CH,141030,E,16,0,,3.15825,0.30776,0.14196,AMARELA,1056,,0
89,47,CH,140585,C,9,0,,2.18434,1.60479,0.16086,AMARELA,1056,,0
88,48,CH,112145,B,11,0,,0.47387,2.25057,0.00901,AMARELA,1056,,0
87,49,CH,84199,A,29,1,bisblg < -0.15,,,,AMARELA,1056,,0
86,50,CH,141048,B,22,0,,1.63923,-0.72645,0.00905,AMARELA,1056,,0
85,51,CH,140914,C,14,0,,0.85459,2.13235,0.12367,AMARELA,1056,,0
84,52,CH,141148,D,10,0,,3.48759,0.79822,0.18644,AMARELA,1056,,0
83,53,CH,111964,D,7,0,,2.81132,0.5445,0.20515,AMARELA,1056,,0
82,54,CH,82962,A,15,0,,1.7267,1.34237,0.16873,AMARELA,1056,,0
81,55,CH,141355,A,23,0,,2.81233,1.85756,0.17604,AMARELA,1056,,0
80,56,CH,125654,E,14,0,,1.49576,0.47561,0.01589,AMARELA,1056,,0
79,57,CH,118066,C,19,0,,1.933,0.69054,0.17203,AMARELA,1056,,0
78,58,CH,140429,B,20,0,,2.16917,0.75171,0.18087,AMARELA,1056,,0
77,59,CH,96291,C,1,0,,2.9037,1.66082,0.10307,AMARELA,1056,,0
76,60,CH,140572,B,19,0,,2.46583,0.73772,0.17053,AMARELA,1056,,0
75,61,CH,96516,E,2,0,,1.96743,2.20588,0.08863,AMARELA,1056,,0
74,62,CH,140190,C,5,0,,1.94428,0.27387,0.14788,AMARELA,1056,,0
73,63,CH,111984,A,3,0,,1.90716,1.36087,0.22521,AMARELA,1056,,0
72,64,CH,125706,E,25,0,,0.5628,2.08511,0.00958,AMARELA,1056,,0
71,65,CH,140631,B,28,0,,1.57605,2.33974,0.25072,AMARELA,1056,,0
70,66,CH,141364,A,20,0,,1.83281,-0.1754,0.04287,AMARELA,1056,,0
69,67,CH,67980,E,6,0,,4.03907,1.33056,0.05942,AMARELA,1056,,0
68,68,CH,140378,A,5,0,,2.1636,0.57483,0.15916,AMARELA,1056,,0
67,69,CH,95823,C,3,0,,1.30094,0.82448,0.0937,AMARELA,1056,,0
66,70,CH,95739,D,12,0,,4.24795,0.96273,0.16049,AMARELA,1056,,0
65,71,CH,140682,E,27,0,,1.88815,1.59325,0.13196,AMARELA,1056,,0
64,72,CH,87207,E,17,0,,4.79392,1.19623,0.12998,AMARELA,1056,,0
63,73,CH,88045,D,18,0,,3.62371,0.51644,0.275,AMARELA,1056,,0
62,74,CH,140568,A,21,0,,1.48568,0.87454,0.17248,AMARELA,1056,,0
61,75,CH,140643,B,6,0,,2.21197,1.4236,0.21778,AMARELA,1056,,0
60,76,CH,141072,B,8,0,,2.78275,0.64418,0.18557,AMARELA,1056,,0
59,77,CH,111893,C,3,0,,0.56617,1.5801,0.03472,AMARELA,1056,,0
58,78,CH,125944,D,4,0,,1.69059,0.29126,0.1166,AMARELA,1056,,0
57,79,CH,140506,D,26,0,,0.98121,1.34897,0.06218,AMARELA,1056,,0
56,80,CH,83806,E,24,0,,1.98269,0.65728,0.08702,AMARELA,1056,,0
55,81,CH,141322,A,24,0,,2.8995,-0.42411,0.19356,AMARELA,1056,,0
54,82,CH,140639,B,30,0,,2.71371,0.59055,0.19782,AMARELA,1056,,0
53,83,CH,118110,C,6,0,,2.22329,1.79851,0.25237,AMARELA,1056,,0
52,84,CH,140721,E,5,0,,0.81842,0.92559,0.02544,AMARELA,1056,,0
51,85,CH,140441,D,29,0,,1.76207,1.31972,0.21908,AMARELA,1056,,0
50,86,CH,140550,A,27,0,,3.5293,0.41127,0.19018,AMARELA,1056,,0
49,87,CH,97262,A,15,0,,1.46058,-0.44013,0.20483,AMARELA,1056,,0
48,88,CH,44230,A,23,0,,2.73837,0.8616,0.21624,AMARELA,1056,,0
47,89,CH,141384,D,18,0,,3.39376,1.05605,0.15958,AMARELA,1056,,0
46,90,CH,75825,B,13,0,,2.34384,0.97017,0.12421,AMARELA,1056,,0
